,Unnamed: 0,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts,team_switch,fullName,diff
87,0,20162017,St. Louis Blues,National Hockey League,2,3,2,4.0,13,4.0,2.0,5,13.0,0.0,15.38,1.0,0.0,159:02,4.0,0.0,20:17,138:40,33.33,0.0,0.0,00:05,10.0,225.0,True,Zach Sanford,0.0
88,0,20202021,St. Louis Blues,National Hockey League,1,6,10,25.0,52,25.0,-13.0,16,67.0,3.0,14.9,3.0,1.0,774:18,69.0,3.0,49:00,643:08,41.18,0.0,2.0,82:10,44.0,1018.0,False,Zach Sanford,
89,0,20212022,Ottawa Senators,National Hockey League,1,8,9,37.0,62,37.0,-13.0,17,85.0,1.0,10.6,0.0,0.0,879:39,131.0,3.0,86:06,758:17,22.22,0.0,0.0,35:16,55.0,1219.0,True,Zach Sanford,-1.0
90,0,20212022,Ottawa Senators,National Hockey League,1,8,9,37.0,62,37.0,-13.0,17,85.0,1.0,10.6,0.0,0.0,879:39,131.0,3.0,86:06,758:17,22.22,0.0,0.0,35:16,55.0,1219.0,False,Zach Sanford,
91,0,20212022,Winnipeg Jets,National Hockey League,2,4,0,13.0,18,13.0,-2.0,4,19.0,0.0,0.0,0.0,0.0,264:16,38.0,0.0,17:26,246:39,25.0,0.0,0.0,00:11,12.0,333.0,True,Zach Sanford,-9.0
92,0,20192020,Carolina Hurricanes,National Hockey League,1,1,0,6.0,5,6.0,2.0,1,1.0,0.0,0.0,0.0,0.0,36:58,4.0,0.0,00:19,36:36,50.0,0.0,0.0,00:03,0.0,61.0,False,Julien Gauthier,
93,0,20192020,New York Rangers,National Hockey League,2,2,0,2.0,12,2.0,-1.0,2,9.0,0.0,0.0,0.0,0.0,103:48,11.0,0.0,00:55,102:53,0.0,0.0,0.0,00:00,7.0,157.0,True,Julien Gauthier,0.0
94,0,20192020,New Jersey Devils,National Hockey League,1,10,21,40.0,57,40.0,-2.0,31,182.0,1.0,11.5,2.0,3.0,971:03,166.0,3.0,28:18,783:39,31.94,0.0,4.0,159:06,40.0,1190.0,False,Blake Coleman,
95,0,20192020,Tampa Bay Lightning,National Hockey League,2,1,0,16.0,9,16.0,2.0,1,18.0,0.0,0.0,0.0,0.0,132:20,25.0,0.0,00:48,114:40,20.0,0.0,0.0,16:52,6.0,174.0,True,Blake Coleman,-21.0
96,0,20202021,Tampa Bay Lightning,National Hockey League,1,17,14,37.0,55,37.0,15.0,31,122.0,1.0,11.5,3.0,1.0,850:35,109.0,1.0,19:15,709:00,22.22,1.0,1.0,122:20,20.0,1146.0,False,Blake Coleman,
97,0,20212022,Calgary Flames,National Hockey League,1,17,16,60.0,81,60.0,16.0,33,212.0,0.0,7.5,2.0,1.0,1200:28,163.0,0.0,24:49,1054:40,10.53,0.0,2.0,120:59,44.0,1720.0,True,Blake Coleman,2.0
98,0,20162017,Detroit Red Wings,National Hockey League,1,0,1,2.0,11,2.0,-1.0,1,19.0,0.0,5.26,0.0,0.0,111:22,10.0,0.0,00:29,108:33,54.41,0.0,0.0,02:20,5.0,162.0,False,Tomas Nosek,
